site_no,county_fips,state_nm,county_nm,state_code
01010000,23003,Maine,Aroostook County,ME
01010070,23003,Maine,Aroostook County,ME
01010500,23003,Maine,Aroostook County,ME
01011000,23003,Maine,Aroostook County,ME
01011500,,,,
01013500,23003,Maine,Aroostook County,ME
01014000,23003,Maine,Aroostook County,ME
01015800,23003,Maine,Aroostook County,ME
01017000,23003,Maine,Aroostook County,ME
01017060,23003,Maine,Aroostook County,ME
01017290,23003,Maine,Aroostook County,ME
01017550,23003,Maine,Aroostook County,ME
01017960,23003,Maine,Aroostook County,ME
01018009,23003,Maine,Aroostook County,ME
01018035,23003,Maine,Aroostook County,ME
01018500,,,,
01018900,23029,Maine,Washington County,ME
01019000,23029,Maine,Washington County,ME
01019300,23029,Maine,Washington County,ME
01021000,23029,Maine,Washington County,ME
01021060,23029,Maine,Washington County,ME
01021470,23029,Maine,Washington County,ME
01021480,23029,Maine,Washington County,ME
01022500,23029,Maine,Washington County,ME
01022840,23009,Maine,Hancock County,ME
01027200,23025,Maine,Somerset County,ME
01027240,23025,Maine,Somerset County,ME
01029200,23019,Maine,Penobscot County,ME
01029500,23019,Maine,Penobscot County,ME
01030350,23003,Maine,Aroostook County,ME
01030500,23019,Maine,Penobscot County,ME
01031300,23021,Maine,Piscataquis County,ME
01031450,23021,Maine,Piscataquis County,ME
01031500,23021,Maine,Piscataquis County,ME
01031510,23021,Maine,Piscataquis County,ME
01033000,23021,Maine,Piscataquis County,ME
01034000,23021,Maine,Piscataquis County,ME
01034500,23019,Maine,Penobscot County,ME
01036390,23019,Maine,Penobscot County,ME
01037000,23019,Maine,Penobscot County,ME
01037050,23019,Maine,Penobscot County,ME
01037380,23027,Maine,Waldo County,ME
01038000,23015,Maine,Lincoln County,ME
01042500,23025,Maine,Somerset County,ME
01043500,23025,Maine,Somerset County,ME
01044550,23025,Maine,Somerset County,ME
01046000,23025,Maine,Somerset County,ME
01046500,23025,Maine,Somerset County,ME
01047000,23025,Maine,Somerset County,ME
01047150,23025,Maine,Somerset County,ME
01047200,23007,Maine,Franklin County,ME
01048000,23025,Maine,Somerset County,ME
01048220,23025,Maine,Somerset County,ME
01049265,23011,Maine,Kennebec County,ME
01049320,23011,Maine,Kennebec County,ME
01049330,23011,Maine,Kennebec County,ME
01049500,23011,Maine,Kennebec County,ME
01049505,23011,Maine,Kennebec County,ME
01052500,33007,New Hampshire,Coos County,NH
01053500,33007,New Hampshire,Coos County,NH
01053600,33007,New Hampshire,Coos County,NH
01054000,33007,New Hampshire,Coos County,NH
01054114,33007,New Hampshire,Coos County,NH
01054200,23017,Maine,Oxford County,ME
01054300,23017,Maine,Oxford County,ME
01054500,23017,Maine,Oxford County,ME
01055000,23017,Maine,Oxford County,ME
01055500,23001,Maine,Androscoggin County,ME
01057000,23017,Maine,Oxford County,ME
01059000,23001,Maine,Androscoggin County,ME
01060000,23005,Maine,Cumberland County,ME
01063310,23005,Maine,Cumberland County,ME
01063995,23005,Maine,Cumberland County,ME
01064140,23005,Maine,Cumberland County,ME
01064500,33003,New Hampshire,Carroll County,NH
01064801,33003,New Hampshire,Carroll County,NH
01066000,23031,Maine,York County,ME
01067950,23031,Maine,York County,ME
01068910,23031,Maine,York County,ME
01069500,23031,Maine,York County,ME
01069700,23031,Maine,York County,ME
01072800,33017,New Hampshire,Strafford County,NH
01072870,33017,New Hampshire,Strafford County,NH
01073000,33017,New Hampshire,Strafford County,NH
01073319,33015,New Hampshire,Rockingham County,NH
01073500,33017,New Hampshire,Strafford County,NH
01073587,33015,New Hampshire,Rockingham County,NH
01073785,33015,New Hampshire,Rockingham County,NH
01074520,33009,New Hampshire,Grafton County,NH
01075000,33009,New Hampshire,Grafton County,NH
01076000,33009,New Hampshire,Grafton County,NH
01076500,33009,New Hampshire,Grafton County,NH
01077400,33009,New Hampshire,Grafton County,NH
01078000,33013,New Hampshire,Merrimack County,NH
01081000,33001,New Hampshire,Belknap County,NH
01081500,33013,New Hampshire,Merrimack County,NH
01082000,33011,New Hampshire,Hillsborough County,NH
01085000,33013,New Hampshire,Merrimack County,NH
01085500,33013,New Hampshire,Merrimack County,NH
01086000,33013,New Hampshire,Merrimack County,NH
01089500,33013,New Hampshire,Merrimack County,NH
01089925,33013,New Hampshire,Merrimack County,NH
01091000,33011,New Hampshire,Hillsborough County,NH
01091500,33011,New Hampshire,Hillsborough County,NH
01092000,33011,New Hampshire,Hillsborough County,NH
01093852,33011,New Hampshire,Hillsborough County,NH
01094000,33011,New Hampshire,Hillsborough County,NH
01094400,25027,Massachusetts,Worcester County,MA
01094500,25027,Massachusetts,Worcester County,MA
01095220,25027,Massachusetts,Worcester County,MA
01095375,25027,Massachusetts,Worcester County,MA
01095434,25027,Massachusetts,Worcester County,MA
01095503,25027,Massachusetts,Worcester County,MA
01096000,25017,Massachusetts,Middlesex County,MA
01096500,25017,Massachusetts,Middlesex County,MA
01096508,33011,New Hampshire,Hillsborough County,NH
01097000,25017,Massachusetts,Middlesex County,MA
01097300,25017,Massachusetts,Middlesex County,MA
01098499,25017,Massachusetts,Middlesex County,MA
01098500,25017,Massachusetts,Middlesex County,MA
01098530,25017,Massachusetts,Middlesex County,MA
01099500,25017,Massachusetts,Middlesex County,MA
01100000,25017,Massachusetts,Middlesex County,MA
01100500,25009,Massachusetts,Essex County,MA
01100505,33015,New Hampshire,Rockingham County,NH
01100561,25009,Massachusetts,Essex County,MA
01100568,25017,Massachusetts,Middlesex County,MA
01100600,25017,Massachusetts,Middlesex County,MA
01100627,25009,Massachusetts,Essex County,MA
01100693,25009,Massachusetts,Essex County,MA
01100870,25009,Massachusetts,Essex County,MA
01101000,25009,Massachusetts,Essex County,MA
01101500,25009,Massachusetts,Essex County,MA
01102000,25009,Massachusetts,Essex County,MA
01102345,25009,Massachusetts,Essex County,MA
01102500,25017,Massachusetts,Middlesex County,MA
01103025,25017,Massachusetts,Middlesex County,MA
01103050,25017,Massachusetts,Middlesex County,MA
01103280,25021,Massachusetts,Norfolk County,MA
01103455,25021,Massachusetts,Norfolk County,MA
01103500,25021,Massachusetts,Norfolk County,MA
01104000,25021,Massachusetts,Norfolk County,MA
01104200,25017,Massachusetts,Middlesex County,MA
01104370,25017,Massachusetts,Middlesex County,MA
01104405,25017,Massachusetts,Middlesex County,MA
01104410,25017,Massachusetts,Middlesex County,MA
01104415,25017,Massachusetts,Middlesex County,MA
01104420,25017,Massachusetts,Middlesex County,MA
01104425,25017,Massachusetts,Middlesex County,MA
01104430,25017,Massachusetts,Middlesex County,MA
01104455,25017,Massachusetts,Middlesex County,MA
01104460,25017,Massachusetts,Middlesex County,MA
01104475,25017,Massachusetts,Middlesex County,MA
01104480,25017,Massachusetts,Middlesex County,MA
01104500,25017,Massachusetts,Middlesex County,MA
01104501,25017,Massachusetts,Middlesex County,MA
01104683,25025,Massachusetts,Suffolk County,MA
01104705,25017,Massachusetts,Middlesex County,MA
01104715,25025,Massachusetts,Suffolk County,MA
01105000,25021,Massachusetts,Norfolk County,MA
01105500,25021,Massachusetts,Norfolk County,MA
01105554,25021,Massachusetts,Norfolk County,MA
01105583,25021,Massachusetts,Norfolk County,MA
01105584,25021,Massachusetts,Norfolk County,MA
01105585,25021,Massachusetts,Norfolk County,MA
01105600,25021,Massachusetts,Norfolk County,MA
01105606,25021,Massachusetts,Norfolk County,MA
01105607,25021,Massachusetts,Norfolk County,MA
01105608,25021,Massachusetts,Norfolk County,MA
01105638,25023,Massachusetts,Plymouth County,MA
01105730,25023,Massachusetts,Plymouth County,MA
01105870,25023,Massachusetts,Plymouth County,MA
01105876,25023,Massachusetts,Plymouth County,MA
01105880,25001,Massachusetts,Barnstable County,MA
01105917,25023,Massachusetts,Plymouth County,MA
01105933,25005,Massachusetts,Bristol County,MA
01108000,25023,Massachusetts,Plymouth County,MA
01108410,25005,Massachusetts,Bristol County,MA
01109000,25005,Massachusetts,Bristol County,MA
01109060,25005,Massachusetts,Bristol County,MA
01109070,25005,Massachusetts,Bristol County,MA
01109403,44007,Rhode Island,Providence County,RI
01109730,25027,Massachusetts,Worcester County,MA
01110000,25027,Massachusetts,Worcester County,MA
01110500,25027,Massachusetts,Worcester County,MA
01111212,25027,Massachusetts,Worcester County,MA
01111300,44007,Rhode Island,Providence County,RI
01111500,44007,Rhode Island,Providence County,RI
01112500,44007,Rhode Island,Providence County,RI
01113895,44007,Rhode Island,Providence County,RI
01114000,44007,Rhode Island,Providence County,RI
01114500,44007,Rhode Island,Providence County,RI
01115098,44007,Rhode Island,Providence County,RI
01115110,44007,Rhode Island,Providence County,RI
01115114,44007,Rhode Island,Providence County,RI
01115170,44007,Rhode Island,Providence County,RI
01115183,44007,Rhode Island,Providence County,RI
01115184,44007,Rhode Island,Providence County,RI
01115185,44007,Rhode Island,Providence County,RI
01115187,44007,Rhode Island,Providence County,RI
